,extremes,gsteukgiCd,gsteukgiNm,gunGbnm,iybudaeCdm,iyyjjongryoYm,iyyjsijakYm,jeopsuJrdtm,jeopsuPcnt,jeopsuSjdtm,mojipGbnm,mojipTms,mojipYy,rate,rnum,seonbalPcnt
537,10,162.102,소방장비,육군,육군훈련소,202408,202408,20240508,20,20240430,기술행정병,5,2024,2,538,10
538,6,222.103,광학기재정비,육군,육군훈련소,202408,202408,20240508,8,20240430,기술행정병,5,2024,4,539,2
539,-20,M241.100,수송운용(중졸),육군,육군훈련소,202408,202408,20240508,0,20240430,기술행정병,5,2024,0,540,20
540,-2,M241.104,견인차량운전(중졸),육군,육군훈련소,202408,202408,20240508,0,20240430,기술행정병,5,2024,0,541,2
541,-15,132.102,K239포병,육군,육군훈련소,202408,202408,20240508,19,20240430,기술행정병,5,2024,0.6,542,34
542,114,141.104,방공작전통제,육군,육군훈련소,202408,202408,20240508,137,20240430,기술행정병,5,2024,6,543,23
543,10,163.105,정수장비운용,육군,육군훈련소,202408,202408,20240508,19,20240430,기술행정병,5,2024,2.1,544,9
544,11,163.112,로더운전,육군,육군훈련소,202408,202408,20240508,20,20240430,기술행정병,5,2024,2.2,545,9
545,-25,171.102,무선전송장비운용/정비,육군,육군훈련소,202408,202408,20240508,63,20240430,기술행정병,5,2024,0.7,546,88
546,1,171.107,교환시설운용/정비,육군,육군훈련소,202408,202408,20240508,7,20240430,기술행정병,5,2024,1.2,547,6
