,extremes,gsteukgiCd,gsteukgiNm,gunGbnm,iybudaeCdm,iyyjjongryoYm,iyyjsijakYm,jeopsuJrdtm,jeopsuPcnt,jeopsuSjdtm,mojipGbnm,mojipTms,mojipYy,rate,rnum,seonbalPcnt
362,22,175105,SW개발병,육군,육군훈련소,202406,202406,20240207,23,20240201,전문특기병,17,2024,23,363,1
363,112,172.101,MW운용/정비,육군,육군훈련소,202405,202405,20240206,133,20240130,기술행정병,2,2024,6.3,364,21
364,56,224.101,차량정비,육군,육군훈련소,202405,202405,20240206,63,20240130,기술행정병,2,2024,9,365,7
365,141,225.101,탄약관리,육군,육군훈련소,202405,202405,20240206,227,20240130,기술행정병,2,2024,2.6,366,86
366,98,231.103,지원보급,육군,육군훈련소,202405,202405,20240206,114,20240130,기술행정병,2,2024,7.1,367,16
367,99,331.101,재정회계,육군,육군훈련소,202405,202405,20240206,110,20240130,기술행정병,2,2024,10,368,11
368,-2,M161.104,야전건설(중졸),육군,육군훈련소,202405,202405,20240206,0,20240130,기술행정병,2,2024,0,369,2
369,-4,M241.104,견인차량운전(중졸),육군,육군훈련소,202405,202405,20240206,0,20240130,기술행정병,2,2024,0,370,4
370,-10,M241.107,차량부대정비(중졸),육군,육군훈련소,202405,202405,20240206,0,20240130,기술행정병,2,2024,0,371,10
371,2,412.104,전문방사선촬영,육군,육군훈련소,202405,202405,20240206,4,20240130,기술행정병,2,2024,2,372,2
372,14,412.106,전문물리치료,육군,육군훈련소,202405,202405,20240206,17,20240130,기술행정병,2,2024,5.7,373,3
373,51,152.101,신호정보/전자전운용,육군,육군훈련소,202405,202405,20240206,59,20240130,기술행정병,2,2024,7.4,374,8
374,145,121.101,K계열전차승무,육군,육군훈련소,202405,202405,20240206,333,20240130,기술행정병,2,2024,1.8,375,188
375,128,141.102,오리콘운용/정비,육군,육군훈련소,202405,202405,20240206,141,20240130,기술행정병,2,2024,10.8,376,13
376,301,153.101,감시장비운용,육군,육군훈련소,202405,202405,20240206,499,20240130,기술행정병,2,2024,2.5,377,198
377,52,163.113,굴착기운용,육군,육군훈련소,202405,202405,20240206,61,20240130,기술행정병,2,2024,6.8,378,9
378,135,211.103,화생방제독,육군,육군훈련소,202405,202405,20240206,224,20240130,기술행정병,2,2024,2.5,379,89
379,33,222.103,광학기재정비,육군,육군훈련소,202405,202405,20240206,43,20240130,기술행정병,2,2024,4.3,380,10
380,19,224.103,발전기정비,육군,육군훈련소,202405,202405,20240206,21,20240130,기술행정병,2,2024,10.5,381,2
381,332,231.107,조리,육군,육군훈련소,202405,202405,20240206,583,20240130,기술행정병,2,2024,2.3,382,251
382,421,241.100,수송운용(차량운전),육군,55사단,202405,202405,20240206,450,20240130,기술행정병,2,2024,15.5,383,29
383,1,412.102,전문치과,육군,육군훈련소,202405,202405,20240206,2,20240130,기술행정병,2,2024,2,384,1
384,44,162.104,전기설비,육군,육군훈련소,202405,202405,20240206,45,20240130,기술행정병,2,2024,45,385,1
385,-4,163.102,다목적굴착기운전,육군,육군훈련소,202405,202405,20240206,8,20240130,기술행정병,2,2024,0.7,386,12
386,189,171.102,무선전송장비운용/정비,육군,육군훈련소,202405,202405,20240206,306,20240130,기술행정병,2,2024,2.6,387,117
387,127,175.101,네트워크운용/정비,육군,육군훈련소,202405,202405,20240206,187,20240130,기술행정병,2,2024,3.1,388,60
388,16,222.104,감시장비정비,육군,육군훈련소,202405,202405,20240206,21,20240130,기술행정병,2,2024,4.2,389,5
389,16,223.101,유선장비정비,육군,육군훈련소,202405,202405,20240206,23,20240130,기술행정병,2,2024,3.3,390,7
390,70,226.101,장비수리부속공구보급,육군,육군훈련소,202405,202405,20240206,83,20240130,기술행정병,2,2024,6.4,391,13
391,13,241.107,차량부대정비,육군,육군훈련소,202405,202405,20240206,93,20240130,기술행정병,2,2024,1.2,392,80
392,22,241.113,크레인차량운전,육군,육군훈련소,202405,202405,20240206,36,20240130,기술행정병,2,2024,2.6,393,14
393,0,M163.113,굴착기운용(중졸),육군,육군훈련소,202405,202405,20240206,1,20240130,기술행정병,2,2024,1,394,1
394,4,412.101,전문간호,육군,육군훈련소,202405,202405,20240206,7,20240130,기술행정병,2,2024,2.3,395,3
395,0,412.103,전문임상병리,육군,육군훈련소,202405,202405,20240206,1,20240130,기술행정병,2,2024,1,396,1
396,38,123.103,K-21보병전투차량승무,육군,육군훈련소,202405,202405,20240206,104,20240130,기술행정병,2,2024,1.6,397,66
397,27,132.102,K239포병,육군,육군훈련소,202405,202405,20240206,61,20240130,기술행정병,2,2024,1.8,398,34
398,118,141.103,비호운용/정비,육군,육군훈련소,202405,202405,20240206,148,20240130,기술행정병,2,2024,4.9,399,30
399,103,151.101,군사정보,육군,육군훈련소,202405,202405,20240206,116,20240130,기술행정병,2,2024,8.9,400,13
400,48,161.104,야전건설,육군,육군훈련소,202405,202405,20240206,61,20240130,기술행정병,2,2024,4.7,401,13
401,38,162.102,소방장비,육군,육군훈련소,202405,202405,20240206,44,20240130,기술행정병,2,2024,7.3,402,6
402,9,163.114,발전기운용/정비,육군,육군훈련소,202405,202405,20240206,10,20240130,기술행정병,2,2024,10,403,1
403,58,211.101,화생방,육군,육군훈련소,202405,202405,20240206,60,20240130,기술행정병,2,2024,30,404,2
404,19,222.101,총기정비,육군,육군훈련소,202405,202405,20240206,25,20240130,기술행정병,2,2024,4.2,405,6
405,16,222.105,전차정비,육군,육군훈련소,202405,202405,20240206,32,20240130,기술행정병,2,2024,2,406,16
406,553,241.100,수송운용(차량운전),육군,5사단,202405,202405,20240206,721,20240130,기술행정병,2,2024,4.3,407,168
407,-8,M231.107,조리(중졸),육군,육군훈련소,202405,202405,20240206,0,20240130,기술행정병,2,2024,0,408,8
408,3,131.104,K-55자주포조종,육군,육군훈련소,202405,202405,20240206,117,20240130,기술행정병,2,2024,1,409,114
409,19,171.107,교환시설운용/정비,육군,육군훈련소,202405,202405,20240206,25,20240130,기술행정병,2,2024,4.2,410,6
410,86,175.103,정보체계운용/정비,육군,육군훈련소,202405,202405,20240206,114,20240130,기술행정병,2,2024,4.1,411,28
411,49,181.101,항공운항/관제,육군,육군훈련소,202405,202405,20240206,62,20240130,기술행정병,2,2024,4.8,412,13
412,7,224.106,화생방장비정비,육군,육군훈련소,202405,202405,20240206,10,20240130,기술행정병,2,2024,3.3,413,3
413,405,241.100,수송운용(차량운전),육군,51사단,202405,202405,20240206,436,20240130,기술행정병,2,2024,14.1,414,31
414,54,241.105,지게차운전,육군,육군훈련소,202405,202405,20240206,66,20240130,기술행정병,2,2024,5.5,415,12
415,30,241.106,차륜형장갑차운전,육군,육군훈련소,202405,202405,20240206,47,20240130,기술행정병,2,2024,2.8,416,17
416,-19,M241.100,수송운용(중졸),육군,육군훈련소,202405,202405,20240206,1,20240130,기술행정병,2,2024,0.1,417,20
417,2,412.105,전문약제,육군,육군훈련소,202405,202405,20240206,9,20240130,기술행정병,2,2024,1.3,418,7
418,115,123.101,장갑차조종,육군,육군훈련소,202405,202405,20240206,279,20240130,기술행정병,2,2024,1.7,419,164
419,281,141.101,발칸운용/정비,육군,육군훈련소,202405,202405,20240206,357,20240130,기술행정병,2,2024,4.7,420,76
420,2,222.102,화포정비,육군,육군훈련소,202405,202405,20240206,4,20240130,기술행정병,2,2024,2,421,2
421,14,224.102,공병장비정비,육군,육군훈련소,202405,202405,20240206,19,20240130,기술행정병,2,2024,3.8,422,5
422,28,243.101,항만운용,육군,육군훈련소,202405,202405,20240206,31,20240130,기술행정병,2,2024,10.3,423,3
423,27,131.107,K-9자주포조종,육군,육군훈련소,202405,202405,20240206,133,20240130,기술행정병,2,2024,1.3,424,106
424,5,133.103,사격지휘,육군,육군훈련소,202405,202405,20240206,80,20240130,기술행정병,2,2024,1.1,425,75
425,426,141.105,휴대용유도무기운용/정비,육군,육군훈련소,202405,202405,20240206,445,20240130,기술행정병,2,2024,23.4,426,19
426,48,163.105,정수장비운용,육군,육군훈련소,202405,202405,20240206,58,20240130,기술행정병,2,2024,5.8,427,10
427,65,172.102,위성운용/정비,육군,육군훈련소,202405,202405,20240206,83,20240130,기술행정병,2,2024,4.6,428,18
428,120,175.102,전술C4I운용/정비,육군,육군훈련소,202405,202405,20240206,156,20240130,기술행정병,2,2024,4.3,429,36
429,44,182.104,기동헬기운용,육군,육군훈련소,202405,202405,20240206,68,20240130,기술행정병,2,2024,2.8,430,24
430,41,224.107,의무장비정비,육군,육군훈련소,202405,202405,20240206,45,20240130,기술행정병,2,2024,11.3,431,4
431,74,231.101,편성보급,육군,육군훈련소,202405,202405,20240206,81,20240130,기술행정병,2,2024,11.6,432,7
432,215,241.100,수송운용(차량운전),육군,6사단,202405,202405,20240206,271,20240130,기술행정병,2,2024,4.8,433,56
433,206,241.100,수송운용(차량운전),육군,3사단,202405,202405,20240206,262,20240130,기술행정병,2,2024,4.7,434,56
434,311,241.100,수송운용(차량운전),육군,28사단,202405,202405,20240206,365,20240130,기술행정병,2,2024,6.8,435,54
435,74,241.104,견인차량운전,육군,육군훈련소,202405,202405,20240206,122,20240130,기술행정병,2,2024,2.5,436,48
436,9,243.102,선박운용,육군,육군훈련소,202405,202405,20240206,11,20240130,기술행정병,2,2024,5.5,437,2
437,-1,M162.104,전기설비(중졸),육군,육군훈련소,202405,202405,20240206,0,20240130,기술행정병,2,2024,0,438,1
438,-1,M241.105,지게차운전(중졸),육군,육군훈련소,202405,202405,20240206,0,20240130,기술행정병,2,2024,0,439,1
439,63,123.102,장갑차부대정비,육군,육군훈련소,202405,202405,20240206,74,20240130,기술행정병,2,2024,6.7,440,11
440,532,171.101,전술통신장비운용/정비,육군,육군훈련소,202405,202405,20240206,711,20240130,기술행정병,2,2024,4,441,179
441,62,174.101,레이다운용/정비,육군,육군훈련소,202405,202405,20240206,104,20240130,기술행정병,2,2024,2.5,442,42
442,22,223.103,무선장비정비,육군,육군훈련소,202405,202405,20240206,30,20240130,기술행정병,2,2024,3.8,443,8
443,2758,241.100,수송운용(차량운전),육군,육군훈련소,202405,202405,20240206,3875,20240130,기술행정병,2,2024,3.5,444,1117
444,202,321.101,군사경찰,육군,육군훈련소,202405,202405,20240206,284,20240130,기술행정병,2,2024,3.5,445,82
445,778,411.101,일반의무,육군,육군훈련소,202405,202405,20240206,958,20240130,기술행정병,2,2024,5.3,446,180
446,29,25,군악병,공군,공군교육사령부,202408,202408,20240508,49,20240430,군악병,5,2024,2.5,447,20
447,23,31,특수임무군사경찰,공군,공군교육사령부,202408,202408,20240508,33,20240430,특수임무군사경찰,5,2024,3.3,448,10
448,8,30,정보보호병,공군,공군교육사령부,202408,202408,20240508,15,20240430,정보보호병,5,2024,2.1,449,7
449,23,54,IT개발관리병,공군,공군교육사령부,202408,202408,20240508,27,20240430,IT개발관리병,5,2024,6.8,450,4
450,24,40,정훈병,공군,공군교육사령부,202408,202408,20240508,28,20240430,정훈병,5,2024,7,451,4
451,34,55,무인항공기운용병,공군,공군교육사령부,202408,202408,20240508,41,20240430,무인항공기운용병,5,2024,5.9,452,7
452,4,45.04,교육훈련_영상/사진,공군,공군교육사령부,202408,202408,20240508,5,20240430,교육훈련매체개발병,5,2024,5,453,1
453,1,44,전문자격의무병,공군,공군교육사령부,202408,202408,20240508,3,20240430,전문자격의무병,5,2024,1.5,454,2
454,3,46,비파괴검사병,공군,공군교육사령부,202408,202408,20240508,4,20240430,비파괴검사병,5,2024,4,455,1
455,7,42.01,식별보조_중국어,공군,공군교육사령부,202408,202408,20240508,8,20240430,식별보조병,5,2024,8,456,1
456,5,50,운항관리병,공군,공군교육사령부,202408,202408,20240508,6,20240430,운항관리병,5,2024,6,457,1
457,13,53,조리병,공군,공군교육사령부,202408,202408,20240508,19,20240430,조리병,5,2024,3.2,458,6
458,9,H001,연고지복무병,육군,21사단,202408,202408,20240507,17,20240429,연고지복무병,5,2024,2.1,459,8
459,-8,H001,연고지복무병,육군,3사단,202408,202408,20240507,8,20240429,연고지복무병,5,2024,0.5,460,16
460,5,H001,연고지복무병,육군,12사단,202408,202408,20240507,11,20240429,연고지복무병,5,2024,1.8,461,6
461,0,H001,연고지복무병,육군,7사단,202408,202408,20240507,6,20240429,연고지복무병,5,2024,1,462,6
462,15,H001,연고지복무병,육군,5사단,202408,202408,20240507,31,20240429,연고지복무병,5,2024,1.9,463,16
463,17,H001,연고지복무병,육군,28사단,202408,202408,20240507,29,20240429,연고지복무병,5,2024,2.4,464,12
464,0,H001,연고지복무병,육군,15사단,202408,202408,20240507,6,20240429,연고지복무병,5,2024,1,465,6
465,13,H001,연고지복무병,육군,6사단,202408,202408,20240507,37,20240429,연고지복무병,5,2024,1.5,466,24
466,-7,D001,직계가족복무부대지원입대병,육군,7사단,202408,202408,20240507,1,20240429,직계가족병,5,2024,0.1,467,8
467,-1,D001,직계가족복무부대지원입대병,육군,12사단,202408,202408,20240507,5,20240429,직계가족병,5,2024,0.8,468,6
468,-6,D001,직계가족복무부대지원입대병,육군,6사단,202408,202408,20240507,18,20240429,직계가족병,5,2024,0.8,469,24
469,4,D001,직계가족복무부대지원입대병,육군,21사단,202408,202408,20240507,13,20240429,직계가족병,5,2024,1.4,470,9
470,1,D001,직계가족복무부대지원입대병,육군,3사단,202408,202408,20240507,17,20240429,직계가족병,5,2024,1.1,471,16
471,-3,D001,직계가족복무부대지원입대병,육군,5사단,202408,202408,20240507,13,20240429,직계가족병,5,2024,0.8,472,16
472,-3,D001,직계가족복무부대지원입대병,육군,28사단,202408,202408,20240507,4,20240429,직계가족병,5,2024,0.6,473,7
473,-7,D001,직계가족복무부대지원입대병,육군,15사단,202408,202408,20240507,1,20240429,직계가족병,5,2024,0.1,474,8
474,-16,A001,동반입대병,육군,12사단,202408,202408,20240507,64,20240429,동반입대병,5,2024,0.8,475,80
475,38,A001,동반입대병,육군,36사단,202408,202408,20240507,64,20240429,동반입대병,5,2024,2.5,476,26
476,-18,A001,동반입대병,육군,6사단,202408,202408,20240507,246,20240429,동반입대병,5,2024,0.9,477,264
477,-6,A001,동반입대병,육군,3사단,202408,202408,20240507,194,20240429,동반입대병,5,2024,1,478,200
478,208,A001,동반입대병,육군,55사단,202408,202408,20240507,286,20240429,동반입대병,5,2024,3.7,479,78
479,20,A001,동반입대병,육군,5사단,202408,202408,20240507,180,20240429,동반입대병,5,2024,1.1,480,160
480,0,A001,동반입대병,육군,15사단,202408,202408,20240507,56,20240429,동반입대병,5,2024,1,481,56
481,-14,A001,동반입대병,육군,21사단,202408,202408,20240507,70,20240429,동반입대병,5,2024,0.8,482,84
482,226,A001,동반입대병,육군,51사단,202408,202408,20240507,326,20240429,동반입대병,5,2024,3.3,483,100
483,8,A001,동반입대병,육군,7사단,202408,202408,20240507,60,20240429,동반입대병,5,2024,1.2,484,52
484,66,A001,동반입대병,육군,28사단,202408,202408,20240507,166,20240429,동반입대병,5,2024,1.7,485,100
485,-5,17.05,화학,해병,해병대교육훈련단,202408,202408,20240508,13,20240430,일반기술/전문기술병,5,2024,0.7,486,18
486,-110,17.01,일반,해병,해병대교육훈련단,202408,202408,20240508,624,20240430,일반기술/전문기술병,5,2024,0.9,487,734
487,-12,23.01,무기정비,해병,해병대교육훈련단,202408,202408,20240508,17,20240430,일반기술/전문기술병,5,2024,0.6,488,29
488,75,17.04,수색,해병,해병대교육훈련단,202408,202408,20240508,84,20240430,일반기술/전문기술병,5,2024,9.3,489,9
489,-30,19.03,공병,해병,해병대교육훈련단,202408,202408,20240508,20,20240430,일반기술/전문기술병,5,2024,0.4,490,50
490,-51,32.01,수송,해병,해병대교육훈련단,202408,202408,20240508,128,20240430,일반기술/전문기술병,5,2024,0.7,491,179
491,8,66,군악병,해병,해병대교육훈련단,202408,202408,20240508,13,20240430,군악병,5,2024,2.6,492,5
492,28,80,동반입대병,해병,해병대교육훈련단,202408,202408,20240508,134,20240430,동반입대병,5,2024,1.3,493,106
493,-12,D001,직계가족복무부대지원입대병,해병,해병대교육훈련단,202408,202408,20240508,8,20240430,직계가족병,5,2024,0.4,494,20
494,13,0001604,일본어어학병,육군,육군훈련소,202409,202408,20240507,16,20240501,어학병,5,2024,5.3,495,3
495,26,0001604,일본어어학병,육군,육군훈련소,202409,202408,20240507,32,20240501,어학병,5,2024,5.3,496,6
496,22,0001605,중국어어학병,육군,육군훈련소,202408,202407,20240507,52,20240501,어학병,6,2024,1.7,497,30
497,7,0001610,아랍어어학병,육군,육군훈련소,202408,202408,20240507,11,20240501,어학병,7,2024,2.8,498,4
498,7,0001606,러시아어어학병,육군,육군훈련소,202407,202407,20240507,14,20240501,어학병,8,2024,2,499,7
499,-10,900101,군사과학기술병,육군,육군훈련소,202408,202408,20240507,10,20240501,전문특기병,42,2024,0.5,500,20
500,-2,311334,지식재산관리병,육군,육군훈련소,202407,202407,20240507,0,20240501,전문특기병,43,2024,0,501,2
501,0,152296,탐지분석병,육군,육군훈련소,202408,202407,20240507,2,20240501,전문특기병,44,2024,1,502,2
502,144,321102,특임군사경찰,육군,육군훈련소,202409,202409,20240507,235,20240501,전문특기병,45,2024,2.6,503,91
503,-9,175104,정보보호병,육군,육군훈련소,202409,202409,20240507,17,20240501,전문특기병,47,2024,0.7,504,26
504,13,175105,SW개발병,육군,육군훈련소,202410,202410,20240507,15,20240501,전문특기병,48,2024,7.5,505,2
505,-3,321103,MC군사경찰,육군,육군훈련소,202410,202408,20240507,31,20240501,전문특기병,46,2024,0.9,506,34
506,-19,11.05,조리,해군,해군교육사령부,202406,202406,20240516,11,20240509,일반기술/전문기술병,203,2024,0.4,507,30
507,-29,11,일반,해군,해군교육사령부,202406,202406,20240516,121,20240509,일반기술/전문기술병,203,2024,0.8,508,150
508,-45,43,기관,해군,해군교육사령부,202406,202406,20240516,5,20240509,일반기술/전문기술병,203,2024,0.1,509,50
509,-2,803,동반_군사경찰,해군,해군교육사령부,202406,202406,20240516,8,20240509,동반입대병,203,2024,0.8,510,10
510,-6,802,동반_갑판,해군,해군교육사령부,202406,202406,20240516,4,20240509,동반입대병,203,2024,0.4,511,10
511,-21,A11,(1함대)일반,해군,해군교육사령부,202406,202406,20240516,9,20240509,복무지역선택병,203,2024,0.3,512,30
512,-7,B43,(2함대)기관,해군,해군교육사령부,202406,202406,20240516,3,20240509,복무지역선택병,203,2024,0.3,513,10
513,-5,A43,(1함대)기관,해군,해군교육사령부,202406,202406,20240516,0,20240509,복무지역선택병,203,2024,0,514,5
514,-9,A11.05,(1함대)조리,해군,해군교육사령부,202406,202406,20240516,1,20240509,복무지역선택병,203,2024,0.1,515,10
515,-30,B11,(2함대)일반,해군,해군교육사령부,202406,202406,20240516,20,20240509,복무지역선택병,203,2024,0.4,516,50
